datetime,symbol,open,high,low,close,volume
2025-09-17 17:00:00,MCX:GOLD1!,109370.0,109410.0,109335.0,109388.0,117.0
2025-09-17 17:15:00,MCX:GOLD1!,109390.0,109411.0,109328.0,109376.0,60.0
2025-09-17 17:30:00,MCX:GOLD1!,109376.0,109550.0,109376.0,109485.0,313.0
2025-09-17 17:45:00,MCX:GOLD1!,109487.0,109556.0,109482.0,109515.0,170.0
2025-09-17 18:00:00,MCX:GOLD1!,109520.0,109660.0,109504.0,109639.0,309.0
2025-09-17 18:15:00,MCX:GOLD1!,109644.0,109731.0,109618.0,109702.0,259.0
2025-09-17 18:30:00,MCX:GOLD1!,109702.0,109704.0,109502.0,109658.0,243.0
2025-09-17 18:45:00,MCX:GOLD1!,109660.0,109680.0,109562.0,109618.0,57.0
2025-09-17 19:00:00,MCX:GOLD1!,109656.0,109825.0,109655.0,109700.0,250.0
2025-09-17 19:15:00,MCX:GOLD1!,109695.0,109710.0,109625.0,109669.0,63.0
2025-09-17 19:30:00,MCX:GOLD1!,109669.0,109789.0,109638.0,109785.0,78.0
2025-09-17 19:45:00,MCX:GOLD1!,109775.0,109807.0,109721.0,109739.0,74.0
2025-09-17 20:00:00,MCX:GOLD1!,109745.0,109818.0,109739.0,109792.0,100.0
2025-09-17 20:15:00,MCX:GOLD1!,109792.0,109810.0,109720.0,109748.0,49.0
2025-09-17 20:30:00,MCX:GOLD1!,109785.0,109839.0,109750.0,109794.0,55.0
2025-09-17 20:45:00,MCX:GOLD1!,109800.0,109819.0,109735.0,109751.0,63.0
2025-09-17 21:00:00,MCX:GOLD1!,109747.0,109820.0,109746.0,109771.0,37.0
2025-09-17 21:15:00,MCX:GOLD1!,109777.0,109782.0,109685.0,109750.0,65.0
2025-09-17 21:30:00,MCX:GOLD1!,109759.0,109868.0,109759.0,109843.0,157.0
2025-09-17 21:45:00,MCX:GOLD1!,109851.0,109922.0,109827.0,109873.0,121.0
2025-09-17 22:00:00,MCX:GOLD1!,109877.0,109890.0,109841.0,109845.0,50.0
2025-09-17 22:15:00,MCX:GOLD1!,109844.0,109863.0,109760.0,109780.0,126.0
2025-09-17 22:30:00,MCX:GOLD1!,109780.0,109785.0,109724.0,109782.0,97.0
2025-09-17 22:45:00,MCX:GOLD1!,109778.0,109778.0,109655.0,109743.0,241.0
2025-09-17 23:00:00,MCX:GOLD1!,109760.0,109817.0,109740.0,109799.0,97.0
2025-09-17 23:15:00,MCX:GOLD1!,109800.0,109853.0,109795.0,109840.0,294.0
2025-09-18 09:00:00,MCX:GOLD1!,109250.0,109425.0,109157.0,109300.0,423.0
2025-09-18 09:15:00,MCX:GOLD1!,109301.0,109309.0,109222.0,109239.0,177.0
2025-09-18 09:30:00,MCX:GOLD1!,109234.0,109269.0,109200.0,109258.0,138.0
2025-09-18 09:45:00,MCX:GOLD1!,109251.0,109350.0,109251.0,109299.0,136.0
2025-09-18 10:00:00,MCX:GOLD1!,109300.0,109324.0,109232.0,109292.0,116.0
2025-09-18 10:15:00,MCX:GOLD1!,109272.0,109295.0,109196.0,109196.0,190.0
2025-09-18 10:30:00,MCX:GOLD1!,109207.0,109269.0,109196.0,109269.0,191.0
2025-09-18 10:45:00,MCX:GOLD1!,109277.0,109374.0,109233.0,109370.0,262.0
2025-09-18 11:00:00,MCX:GOLD1!,109362.0,109373.0,109180.0,109215.0,318.0
